interval,consumer_id,prosumer_id,p2p_trade_volume_kwh,market_price_zar_per_kwh
39,C3,P4,0.013918465324381086,0.5
39,C3,P6,0.014613325764645808,0.5
39,C3,P7,0.012333505817606734,0.5
39,C3,P8,0.01376642309817135,0.5
39,C3,P9,0.002432719607513284,0.5
39,C3,P11,0.014781634503559694,0.5
39,C3,P14,0.015641395538980318,0.5
39,C4,P0,0.012824432870397907,0.5
39,C4,P4,0.013674007807654587,0.5
39,C4,P6,0.01435666403906871,0.5
39,C4,P7,0.012116885799922563,0.5
39,C4,P8,0.013524635981103907,0.5
39,C4,P9,0.002389992440380653,0.5
39,C4,P11,0.014522016680783704,0.5
39,C4,P14,0.015366677269222652,0.5
39,C5,P0,0.009741749310129777,0.5
39,C5,P4,0.010387106975654913,0.5
39,C5,P6,0.010905669156036772,0.5
39,C5,P7,0.009204279446522962,0.5
39,C5,P8,0.010273640524314849,0.5
39,C5,P9,0.0018154960490327872,0.5
39,C5,P11,0.011031275021000469,0.5
39,C5,P14,0.011672899628332022,0.5
39,C6,P0,0.021728547773239244,0.5
39,C6,P4,0.02316798995346532,0.5
39,C6,P6,0.02432462032354741,0.5
39,C6,P7,0.020529744638784382,0.5
39,C6,P8,0.022914907973000186,0.5
39,C6,P9,0.004049384907956587,0.5
39,C6,P11,0.02460477873766558,0.5
39,C6,P14,0.026035894494092677,0.5
39,C7,P0,0.013737166020642998,0.5
39,C7,P4,0.014647206416036349,0.5
39,C7,P6,0.015378448263588808,0.5
39,C7,P7,0.012979261817567091,0.5
39,C7,P8,0.014487203583874482,0.5
39,C7,P9,0.0025600916058732557,0.5
39,C7,P11,0.015555569288287994,0.5
39,C7,P14,0.016460345573659888,0.5
39,C8,P0,0.02316387853131105,0.5
39,C8,P4,0.02469840647876401,0.5
39,C8,P6,0.025931440811192048,0.5
39,C8,P7,0.021885885612535898,0.5
39,C8,P8,0.024428606567829417,0.5
39,C8,P9,0.004316876632222677,0.5
39,C8,P11,0.026230105753823445,0.5
39,C8,P14,0.0277557572558051,0.5
39,C9,P0,0.007998442586128184,0.5
39,C9,P4,0.008528312127099954,0.5
39,C9,P6,0.00895407650422356,0.5
39,C9,P7,0.007557154095839986,0.5
39,C9,P8,0.008435150738153976,0.5
39,C9,P9,0.001490609176160155,0.5
39,C9,P11,0.009057204932949234,0.5
39,C9,P14,0.00958400945441768,0.5
39,C10,P0,0.006459183788784322,0.5
