interval,total_load_kwh,total_pv_kwh,battery_charge_kwh,battery_discharge_kwh,avg_soc_pct,p2p_traded_kwh,mcp_price_zar_per_kwh,curtailment_kwh,grid_import_kwh,feeder_overload_flag
32,7.26763122088498,9.039500993670497,5.385580478837372,0.0,39.341334172857636,0.0,0.0,0.0,3.6137107060518563,0
33,6.311006829992237,10.17583756807478,6.968273949803854,0.0,43.98685013939353,0.0,0.0,0.0,3.103443211721308,0
34,5.255124833412442,11.088339235840941,8.430911397434778,0.0,49.607457737683376,0.0,0.0,0.0,2.5976969950062796,0
35,4.459947450675125,12.119366287354914,9.902597275085471,0.0,56.209189254407036,0.0,0.0,0.0,2.243178438405681,0
36,3.448070275372666,12.90595346671457,11.206839990343688,0.0,63.68041591463614,0.0,0.0,0.0,1.7489567990017838,0
37,3.133124469310647,13.865035294939307,12.22515656604294,0.0,71.83052029199811,0.034148514155475373,3.0,0.0,1.4932457404142832,0
38,3.243431834621724,14.52335585406475,11.279924019443026,0.0,78.37040563597657,1.5829085141443204,0.5,0.0,0.0,1
39,2.8723812676032154,15.203065191625448,11.85481475033652,0.0,84.13908124685192,1.428635428359355,0.5,0.4758691736857138,0.0,1
40,2.73051640197287,15.820986219624466,8.239954785943947,0.0,91.39374719359094,1.3956949567126273,0.5,4.850515031707644,0.0,1
41,2.7766954367518637,16.266728790017158,6.048863355811655,0.0,94.51496792196383,1.3714595539435106,0.5,7.441169997453639,0.0,1
42,2.8703795078939773,16.85642739514118,3.272927979496033,0.0,97.36732928385624,1.476519522301485,0.5,10.713119907751167,0.0,1
43,2.7201978539602414,17.193758507438588,0.8579383461410972,0.0,99.30666894275933,1.279813754034229,0.5,13.615622307337249,0.0,1
44,2.804531462731928,17.49792796483007,0.6997963248305439,0.0,99.53346911677963,1.475038720267567,0.5,13.993600177267599,0.0,1
45,2.8501131745030266,18.058126639684073,0.0,0.0,100.0,1.3958524276724633,0.5,15.208013465181045,0.0,1
46,2.8034612747238454,18.022909896571917,0.0,0.0,100.0,1.3284085658002074,0.5,15.219448621848075,0.0,1
47,2.748832892342363,18.180512323078776,0.0,0.0,100.0,1.3315172067517211,0.5,15.431679430736411,0.0,1
48,2.7964247418499752,18.33670769143957,0.0,0.0,100.0,1.3420628377553523,0.5,15.540282949589592,0.0,1
49,2.853344606574437,18.320657178700586,0.0,0.0,100.0,1.4126552282513227,0.5,15.467312572126147,0.0,1
50,2.9788531262621203,18.16083001737676,0.0,0.0,100.0,1.3868446525759355,0.5,15.181976891114639,0.0,1
51,3.0091680008304595,17.943145760004562,0.0,0.0,100.0,1.4890509600326893,0.5,14.933977759174109,0.0,1
52,2.9135996541413096,17.5910439675065,0.0,0.0,100.0,1.4572148531338693,0.5,14.677444313365193,0.0,1
53,2.8764547202277204,17.379318728341854,0.0,0.0,100.0,1.4233125848388064,0.5,14.50286400811414,0.0,1
54,2.62900326440578,16.96214284066497,0.0,0.0,100.0,1.3567450296333592,0.5,14.33313957625919,0.0,1
55,2.8377562242055547,16.40398811727758,0.0,0.0,100.0,1.352317877599071,0.5,13.566231893072025,0.0,1
56,3.0318789904303918,15.75110612737679,0.0,0.0,100.0,1.3920335628009393,0.5,12.7192271369464,0.0,1
57,2.693983960130305,15.157148422675753,0.0,0.0,100.0,1.2750238456381366,0.5,12.463164462545448,0.0,1
58,2.736369168438,14.319162065211357,0.0,0.0,100.0,1.4500236164808253,0.5,11.582792896773354,0.0,1
59,2.981062406522768,13.527467089671818,0.0,0.0,100.0,1.5579958966157825,0.5,10.546404683149055,0.0,1
60,2.549990097845003,13.022122480790832,0.0,0.0,100.0,1.2148406957712616,0.5,10.472132382945826,0.0,0
61,3.190269394339066,12.055213406044587,0.0,0.0,100.0,1.578931879132131,0.5,8.864944011705521,0.0,1
62,3.4665547046515384,11.160428421207325,0.0,0.0,100.0,1.7584162902197784,0.5,7.693873716555787,0.0,1
63,3.97571824031303,10.096445264764196,0.0,0.0,100.0,1.8884795235949277,0.5,6.120727024451163,0.0,1
64,4.400145541475846,9.07862041256156,0.0,0.0,100.0,2.1673710143568976,0.5,4.678474871085714,0.0,1
65,4.881712912412829,8.127937076784086,0.0,0.0,100.0,2.524243714301923,0.5,3.2462241643712573,0.0,1
66,5.777040403199605,7.073553871900708,0.0,0.0,100.0,2.8098074970897766,0.5,1.296513468701103,0.0,1
67,6.674733612250502,5.896316576115941,0.0,0.0,100.0,2.54463875761273,1.2647618289686409,0.0,0.7784170361345604,1
68,8.054099824450775,4.8031367075408085,0.0,0.14806037301596714,99.90129308465603,0.9752740378500273,3.0,0.0,3.1029027438939996,0
69,9.39243404967868,3.6666801575826207,0.0,1.080927187825224,99.1806749594392,0.0834307841275801,3.0,0.0,4.6448267042708355,0
70,10.55180543091643,2.567326175655547,0.0,2.624441322409508,97.43104741116619,0.0,0.0,0.0,5.360037932851375,0
71,11.929609271648383,1.1284388362368292,0.0,4.838294634711684,94.20551765469176,0.0,0.0,0.0,5.96287580069987,0
72,13.144556636843145,0.08900313261417418,0.0,6.437352181557318,89.91394953365355,0.0,0.0,0.0,6.618201322671651,0
73,14.730066138155031,0.10224401517071638,0.0,7.285982035300436,85.05662817678659,0.0,0.0,0.0,7.34184008768388,0
74,15.214497195021975,0.222279886663131,0.0,7.323910429021946,80.17402122410529,0.0,0.0,0.0,7.668306879336901,0
75,15.621192430092508,0.10315876508975638,0.0,7.725359767924259,75.02378137882243,0.0,0.0,0.0,7.792673897078493,0
