interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
21,0,186,3000000,0,125,0,0,0,1,1,TSEQAERHYOC52HY22FO55KVR5IPABG6WTRWITORRNOX5OTRPAVBA,OLYMR5WZNEPIPT2LFNL4CUX2BFLSVTEU33BBFGY535ZSVTY42GUA,
22,0,233,3000000,0,125,0,0,0,1,1,SV7HT3GZBHQL4D7UWC7E64Q26GLA2SSS3DJUUPQIPCIY7SMDDYBA,KK5AUIT5JSPCVTMWS4S5JTVZOK4GRMQ5P3DZAOSVUMBXYKYIU4LQ,
23,0,294,3000000,0,125,0,0,0,1,1,EGJCGSM6BTDZVTOYL5LASTZ4PKAGK5EYWJEXAX3HMLKXIBMVEWVA,LTQSCTQUAQZIMKELKUGIH2BBD6K4VZ2W25KBS4MFMFH5PHXRZN2A,
24,0,367,3000000,0,125,0,0,0,1,1,RXE7IYNPMP7GMCNIU2NUIFFE7L2WIXCASBXDEHAYULRRROQTIFCQ,UOHMKYT2SPOC2KEKVWNULZQBQE7RXNSSH45EO2I7FWIPR6V6KJ7Q,
25,0,427,3000000,0,125,0,0,0,1,1,GCLCZWYO6DQXL6M5T6ZD3JGKQHOAB5YTY56H7VKNXWEOWCEDLROQ,QLZMNEMMBQYNV3Z3R6TRFSRU4RVOSWBBGNYWC4P3IT6LL6N623YA,
26,0,507,3000000,0,125,0,0,0,1,1,IHJT3OHSQDOLW6G7Y3LBMSP2KVNMYKYZM7EQDBSFF3S3QHQA35HA,E3JBVXMTLL3XSG6OK2DDM5ZD25L6JU5K4CYMIYBMICEHDL4MLQ2Q,
27,0,513,3000000,0,125,0,0,0,1,1,L7JZ2B4S7KSGAXUSQRC452IXP62MAVPUSEQWHHPPB374H65UIKLQ,NE4BKQQF3M6L6KJS3GJ2Q6ZXWTUQKAD5ZVKBUD64CMHC3T3P3NGQ,
28,0,542,3000000,0,125,0,0,0,1,1,DCMICIO5X6UVWP6XS7JPRH6H6FYTJDMEAW3N7YS7YT3JRNAE76BQ,3QK7HPUZME534R6DWS7NVNJZGYX4NQ3L3YHRESG2RZWTUN6XGDWA,
29,0,551,3000000,0,125,0,0,0,1,1,MD7WC2KSKIIOP7JHBQBUXUISDNMMERGRTNZCYKJ7YWU7W72FHGIA,KP7IM6DYOAISHSDQH6M2B7IRCKQJILM6NXS4GP6QRUIQOHU6TIKA,
30,0,481,3000000,0,125,0,0,0,1,1,NUURWMEPVWU4Y5HSXWBQO34P7Y7EE3XLWB7VF4C6DJAAM2E6MS6Q,XSC3RLQV536V2AFUKLYU4GMVN6X6FPWYGGELJ2H7MPV24Q7OSRAQ,
31,0,450,3000000,0,125,0,0,0,1,1,M25WCTC7DGI4LBTG5KTBGDSZQYHV5XO7ODBZG577OPTMPLY5D4OA,PIBRIU5C3GH3AUDIIGJLVLFWB6BGOEGBC7EEU55O2IU7KSTCSAGQ,
32,0,375,3000000,0,125,0,0,0,1,1,TPJWBMKIO43YPW24CIATAPO6RI2MVLRPJ4W24376D74MJNXYLT5A,6CGM3NO5XIP25BH3ZDOM3KXQ7SI2AFVR6OULUOKQE6PKFVZHJ2FQ,
33,0,336,3000000,0,125,0,0,0,1,1,DJPKAGPDYGF4BXIJNCPHYT4T3HLGSJQQHTCNZ2UTXCY43LPVI2QA,RBSWPIDCUORM7IYAVBORWR6UPCJI22LFPKXUWXCEGKOQNDD6UKNA,
34,0,258,3000000,0,125,0,0,0,1,1,GHGS2K6DXQCE3ZLXZFHAYT7YEKIBRPXXADMSULJOY23ZGMHWXV7A,KAKMRB6HZ6MHE3A44OX7ZIVZE2LUSEPKWOPGNSKC2QLOVMIXRW7A,
35,0,211,3000000,0,125,0,0,0,1,1,2EU4AW5CG7NSZY3VGXJJOKHT2YYL43WVS7WHFTQS6IY3IHF3K7SA,P3PLKIOG7PTMFUET2LCUVQD3QAOU5QRO4RR6YLPPMY2GX3CUWE2A,
36,0,183,3000000,0,125,0,0,0,1,1,TRCBLZNH737LUACZOBY6DDDXLIGRLCIWVQSKWF5NE23MW3WY3HRA,PNCJBVKB32NGPVW3AXTI7SX7KLWKK4HXQTIWH65X4CVPQ4AS74FA,
37,0,166,3000000,0,125,0,0,0,1,1,G6ERF6TU2QR7B2ESXDUKW7TC5NWKNV6DLX5LNNZ66UHNHK6PDNZA,7VPLQJ5XJ2AGSSC7OWIBIS4URQQI6P5HYKDP7T4H4IKE3Q54KJWQ,
38,172,165,2898255,125,125,165,165,125,1,0,DM6555DUYBRSR3W6GT3HWK6TQHIUZZZOA5AVXYVUV7JIZD2NLJ5Q,,"TransactionPool.Remember: transaction 7RM557IOADM3TPYBDFEWVPH44DJF2LGYSVUWGP6IAGXZO6LVD4BQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
39,353,145,1526910,125,125,145,145,125,1,0,JX6XER5LFEIXYBPCQ2PTFB5Z2MZV2O7GXHB7HXEJ3ESKQYCF7IIA,,"TransactionPool.Remember: transaction NMEQOHNYTKBNITVQXBPAI2LCFGJRDUQ4LIWVYFPOKY4UYLNGUBRQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
40,653,142,1043642,125,125,142,142,125,1,0,2LKOGFUVVB6FWCY6ZH6XPRPEVXB5TRKSVWM3WVHWB63GN5JA3UJQ,,"TransactionPool.Remember: transaction T4XSF37WKZMLSPKKOFJWWDPHLOSLIXC7RWSIEJAOYGONVLQS6PUQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
41,890,127,856740,125,125,127,127,125,1,0,X4OK2NTCBYNUNVV3WXTHET7GI4HZRZLMBXG6MI35SD2G6QXP5S2A,,"TransactionPool.Remember: transaction KC2PTOSVY3LOK56F4VJVLKPFC54I6TNTMP62EMFCPITKDXLUK67Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
42,1240,144,790322,125,125,144,144,125,1,0,M53QU27REHJGWHHIUYUMKTREFGYFANUODOLU4RVKGRGPB5PDR2TQ,,"TransactionPool.Remember: transaction DA4PUB5GZG2FRKESVVDTDWQQJJIAGMVJT4BUIQYWDMQAWLHN6DMA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
43,1414,140,747522,125,125,140,140,125,1,0,EWWO7TDACYFPIRHXR5GJ72KPOWXEEUSSUQ4KOAJO75NNFYZYBWHA,,"TransactionPool.Remember: transaction XMBAPBSZWNTKXILRU4ZXPK5I7M2XBKA7G5BO2DT433WVGMACJPUA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
44,1565,162,758785,125,125,162,162,125,1,0,XKY4LOT6WCEQEPM4SV3ANNVOXQOH4CT3WHC5BGL2B7M2WGD5PAMA,,"TransactionPool.Remember: transaction T56CZTCCZB5IQ4AGB35UVEAZLRMIIL5HHZ6EIGM4CZ2M5IYHNIAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
