interval,total_supply_u,total_demand_u,planned_clear_u,total_load_kwh,total_pv_kwh,battery_charge_u_pre,battery_discharge_u_pre,battery_charge_u_total,battery_discharge_u_total,curtail_u
61,987,160,160,3.4881749034592864,11.71982741548819,0,0,827,0,0
62,896,174,174,3.640400713417315,10.863213238846473,0,0,722,0,0
63,759,193,193,4.141054502456523,9.769647677144405,0,0,566,0,0
64,635,232,232,4.8877668483713705,8.919788645021079,0,0,403,0,0
65,506,257,257,5.329386816218845,7.798581460454536,0,0,249,0,0
66,356,309,309,6.2954896615338765,6.754912888673787,0,0,47,0,0
67,191,352,191,7.258156467628389,5.677951495436685,0,0,0,0,0
68,68,429,68,8.711933506263954,4.767159287864183,0,29,0,29,0
69,5,485,5,9.876510403483477,3.444147248673078,0,159,0,159,0
70,0,580,0,11.560326035325115,2.2464738460688602,0,344,0,344,0
71,0,644,0,12.864688482813483,1.0886479718200353,0,526,0,526,0
72,0,714,0,14.308664674968421,0.14131754490830167,0,695,0,695,0
73,0,762,0,15.45908017176641,0.15316118977748433,0,761,0,761,0
74,0,804,0,16.210767338858943,0.23805535655487606,0,786,0,786,0
75,0,845,0,16.977931052188573,0.20558080620667618,0,824,0,824,0
76,0,866,0,17.171141787568097,0.08160001958996635,0,835,0,835,0
77,0,852,0,16.783741414148373,0.1071075186366387,0,808,0,808,0
78,0,809,0,16.1031446415462,0.23295382662181788,0,770,0,770,0
79,0,763,0,15.29899321497841,0.036135936536144206,0,754,0,754,0
80,0,686,0,13.848495531510224,0.16813598638465962,0,672,0,672,0
81,0,614,0,12.468917192078656,0.13872573224298626,0,611,0,611,0
82,0,530,0,10.739321980541408,0.08450932272379783,0,528,0,528,0
83,0,457,0,9.429207284327925,0.12876668864797405,0,463,0,463,0
84,0,385,0,7.82612363887002,0.1653564800981073,0,371,0,371,0
85,0,325,0,6.475518885346025,0.17621524822845544,0,294,0,294,0
86,0,265,0,5.401380802608795,0.14907969948636235,0,226,0,226,0
87,0,218,0,4.177051784618258,0.20098144168581336,0,149,0,149,0
88,0,162,0,3.312988366896381,0.08675210047059187,0,121,0,121,0
89,0,136,0,2.852771516608632,0.11944290073856864,0,108,0,108,0
90,0,114,0,2.333897302926972,0.08933973239943789,0,72,0,72,0
91,0,92,0,2.0709521915935882,0.16304058385233788,0,66,0,66,0
92,0,81,0,1.8146821688501023,0.1316605717247081,0,53,0,53,0
93,0,71,0,1.654677937995317,0.1626736016446192,0,49,0,49,0
94,0,53,0,1.5091837596425495,0.12938084680418374,0,64,0,64,0
95,0,56,0,1.3598643147464171,0.06482726256224941,0,55,0,55,0
