interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
52,1576,130,1027347,130,1250,130,130,130,1,0,CBEJCHIDDTMAFXKPSJ3KN2ZGDZV7FMUMEEIAV2VBTXDV6FU6FIWQ,,"TransactionPool.Remember: transaction VOABJLVKGBSOTRU2B6BKTMJVM2WZPRYGHCYFVBPJPEP24JQMTCDA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
53,1536,146,1054361,146,1250,146,146,146,1,0,IEL2OPL5YKPDQYDTND7ATESTCNFNKQUTAFKTHKI53NY2QKHKQJIA,,"TransactionPool.Remember: transaction JCHPCG3QGW6XME6TRKER5Q5HOFBHBSKJUL4GSPXNVC6BLIMW3VOA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
54,1470,143,1059147,143,1250,143,143,143,1,0,LHMZO6GHHLC6JS6BJDI4PL4HT45HYCXTA4BH32FDN35LDSX7S6QA,,"TransactionPool.Remember: transaction BPTOBDWXVRUOWGISOYYWA3AM532SFXCUKBVQAELTHTLNYIZPV2ZA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
55,1423,131,1047926,131,1250,131,131,131,1,0,JIMATO5DALJPVQURYQATJALRZL4BAZOPF2UZXBLMFAKSGEBH22WA,,"TransactionPool.Remember: transaction BF5XVATB52HON6VXKE4ICXJCC4UUDYQQ62J4XKHQOLLTAYZNS5PA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
56,1376,133,1057810,133,1250,133,133,133,1,0,CVVPDS5W7FKB5HIQ3LPXAHV6RE7IIXEOO7C3UOOP4Q5SICE3LWWQ,,"TransactionPool.Remember: transaction ZXXA4UN6BVR6VKV7XNH5WUJ5UJJUN2L24PL5YXIPTYCLWQ34IH2Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
57,1304,130,1064339,130,1250,130,130,130,1,0,45VXBMDDECWYRWIQRBDANPN4FZCWL6S3K3RYEREIAYQYF3YUZV7Q,,"TransactionPool.Remember: transaction 2QAY26QB55AVT24VG5HPKUELAWY2NM4NYYTMT5B4TWFN5QSOKY6A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
58,1260,140,1088888,140,1250,140,140,140,1,0,TEV4R7OZ4HF5OEMDR4ZH45SMZXHPGDV5ZX5YJMB4PNQKRUL7AMVQ,,"TransactionPool.Remember: transaction G4RFCP4EK25VDQSN3B4VQHBA376AHNE65QTCRBJW23HWXAJYBYTQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
59,1196,132,1087289,132,1250,132,132,132,1,0,ZBNDUQF67KSLRO6FZ7YM6M3V3DALCBFXJG5U7MWY5YZSRJXTBDZA,,"TransactionPool.Remember: transaction 2EVWT32FMFSKQDBE2IVBRDAK6NYJGYCNSQKYDCQJV4ASR2AOXLIQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
60,1116,164,1165948,164,1250,164,164,164,1,0,DPIKXN6H66DGKPTEIIJLP5Q3DU6T3USHWYAXBRCTVGRUKFKAUB7A,,"TransactionPool.Remember: transaction 4YDWVVKHCSUWWEIWVNCT34BCQ52X6KQXPUIXTUOS3RGTEHTDEDEQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
61,987,160,1198530,160,1250,160,160,160,1,0,SRMBNVQNITNKPTTSUF5GC3Y3MN4IP7KCTP5LOLIJCGPS4FJN5DVA,,"TransactionPool.Remember: transaction FP7444GCCCOKHXR7CE33BBB4DYF2UECDXQ3FKBV4RXXP3CWOGC5A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
62,896,174,1267521,174,1250,174,174,174,1,0,KKVAKINYL7UQEVOTBFCYBWQPC3NSSFT4ODSXFWIPGDRXVBWOW62Q,,"TransactionPool.Remember: transaction 6ZMCGATVOIPIGCP6DVGJKACUI7LHRTCDJCUOM6FWGM64IIYVNNTQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
63,759,193,1396704,193,1250,193,193,193,1,0,UAT2PVJVXMFTJBSCGDE36KEYYUADZ5JQPAJ4EUZQAUFWDFACARCA,,"TransactionPool.Remember: transaction XDQHOHAMBHKSGSKJFYLTXPSCGAZQGASA2K5AQDUQHSWA53LP3HRA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
64,635,232,1635511,232,1250,232,232,232,1,0,FNQ2OEJIOHMAQWAHMU3ECC7ZIAVIAO5V2ANKU3243V5M5TVQX6AQ,,"TransactionPool.Remember: transaction M2QACBFCOILAZUWJTBFUN5Y5EPTNEBO7RPUG4AJAKMXPSXDE6I2A: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
65,506,257,1941995,257,1250,257,257,257,1,0,WAXDEX27ADTDY4JUWHKIX3JGAHKF2WB5RHRRXHPA6F52LKJC24KA,,"TransactionPool.Remember: transaction H4W2L3FU6IW7SXPKUQCCJJVCHQACQVIJNKAIWTLEJ3UM65QHLRFA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
66,356,309,2716150,309,1250,309,309,309,1,0,LX3GQ63HGYV3RL7542YY5PLEWHFQVAVKW5S2SVLL7XZ5TYYCR4FQ,,"TransactionPool.Remember: transaction WDW4RBOXDDVTC36YRWHPHVVQ577HJP2H2FTATZQLBVH5O6ULVXBA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
67,191,352,3000000,191,1250,191,191,191,1,0,LHN74PTYWXRVJZTYFJNJL5MIRMQPDPD7TR6ZOO72DMXBM6EJFSFA,,"TransactionPool.Remember: transaction OAU2NTI7PHYUDOWHRZBSGVIBCPARNMLSMNYDBEXSPWQ7G4BTSHJQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
68,68,429,3000000,68,1250,68,68,68,1,0,XOZGTQC6ZOR3FSEILFUQWT6U3UUB4WLSKBXX7GVU5GNJDNBEU3VQ,,"TransactionPool.Remember: transaction ISNTM4YHROEGZAX6CV6KGIBR2EH5TPYTN2SEBPR36NZOK6PKDFNQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
