interval,total_supply_u,total_demand_u,mcp_micro,allowed_u,feeder_cap_units,planned_clear_u,planned_total_u,scaled_total_u,execute_ok,finalize_ok,execute_txid,finalize_txid,error
52,1576,130,1027347,125,125,130,130,125,1,0,G3YWHRRY6ANGJUFJBLVKKNHL4EWMRUAMAOTDN5BGOA5HMUIAXTZA,,"TransactionPool.Remember: transaction EELDZXLDNZYRZJ2AQNTGNKTLUMNNUCAFSI5AKHOFGESONACAW6ZQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
53,1536,146,1054361,125,125,146,146,125,1,0,2CNZAJLG2MUJMI5H5KA7J7DYW5QAPJHIK2COETV4TZN3H7GGA5QA,,"TransactionPool.Remember: transaction S4X5ASMYNHW4R4E2DFLCEH3Y7WNTIZ5XJSBF6EO2CQIOQL3ACAEQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
54,1470,143,1059147,125,125,143,143,125,1,0,UHSAS5L4VQDTKDMVCPAZDZL7LKN3HGUGTTXJT7TU6IW6SJBAVHCA,,"TransactionPool.Remember: transaction WVENIPM2ORPNQ2PBVTJ37AAZ5GYJNQAXHGF5MTTRGGAAEA7KHCBQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
55,1423,131,1047926,125,125,131,131,125,1,0,7EDK73L4QARFYQGT7N5T2XB7XWG6DTJQFFRX2PBR6TN7R27FQTDA,,"TransactionPool.Remember: transaction R3FGJTYLP5PSTMWYVYDEOOWIO3LK3O4V4PBJTGU2CDRQTLFO5Y2Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
56,1376,133,1057810,125,125,133,133,125,1,0,C5PWK42XFBVC2Z2HSCOO3ATRKCHP42G3Z736S3TWOAODKQFHYT5Q,,"TransactionPool.Remember: transaction NL7F5OAW5OTDY2IBXGJBKUZMOOUBGGWJTL3RX55WETIJGBDWWPFQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
57,1304,130,1064339,125,125,130,130,125,1,0,4LJ4U5FDMBZY4AZRHQR76TZ2EFYBRXATXFN6JOCDMZ6PZS2KFIEQ,,"TransactionPool.Remember: transaction 23MBGQEP3FHRQXP3EN5KV56GLKV3UQXNAYTKHWDXRHFWUHTJPDWA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
58,1260,140,1088888,125,125,140,140,125,1,0,JZWZQJ3QPW3AQF2MMT7BAJAOZCX25LEE3N3GB6QIBPKVIRUKE7KA,,"TransactionPool.Remember: transaction 2UPMU3ZL544MRJU3OX2WOESAQVP24EYV4BMWYDHZPHU45RANX3KA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
59,1196,132,0,0,0,132,132,0,0,0,2JEQHQE24TOE47GYRH5XS5WHJ73TTQJIS5QQV6S6STNFNWCRPJGQ,,The read operation timed out
60,1116,164,1165948,125,125,164,164,125,1,0,HQ7DVTEJQPGVQ2PSC6YBWU676OAJZEGKNYEZOYRDQ56FYBLCOIQA,,The read operation timed out
61,987,160,1198530,125,125,160,160,125,1,0,25T6YEUJPE2LI2FINZNNSG54WFC5VVKJPZR5KYIXQOZV2A7QJKGA,,"TransactionPool.Remember: transaction SNX2YAA2VMXQVJGVZRMIIDA4TXKGIHSF7ZPT2IUFXILADCUEHV3Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
62,896,174,1267521,125,125,174,174,125,1,0,QJYF7BI5OWRVRHB7WFQKZ7XMJS42YDX4TMRMFBIV43DBZDI5OEDQ,,"TransactionPool.Remember: transaction NK3KBQMENUSJLJCXJLI3MTJYQQVAZSC5HY2DYDAYIL5EMJDZIYFA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
63,759,193,1396704,125,125,193,193,125,1,0,2RXZEN2KA2MPR7KTHCR6JTMOP5RIG37HLHT7EJYW3NEY2MRYL5SA,,"TransactionPool.Remember: transaction PVB2ZNKYJCXZ6STBUMG4NSOIM5RHKAILPUW5S62ZIOFRY7GFKPHQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
64,635,232,1635511,125,125,232,232,125,1,0,UQISFZROVQSPLESFPLV7CW7LHPELQCN5LUAHBX74S2CDV6W4HOTA,,"TransactionPool.Remember: transaction TF3FBWWCXDKZZVQJT3U3A4DJ57A4G77IHRDFDAJABADA42JAGWVQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
65,506,257,1941995,125,125,257,257,125,1,0,R3MFO7CY4OSY2VPEM4DDYNMXW22GJ67HAGBZRA2RDSSIETGESPXQ,,"TransactionPool.Remember: transaction WTALOHDWZGNXQYA7ADM4M4KP7YQXUWV6TURK65ZDEI5BOZB3ESZQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
66,356,309,2716150,125,125,309,309,125,1,0,FG77N2YZASSULBJ3WF4JTAQ4NQBDZF74TFR5GULXZ43ZTMUUOVNA,,"TransactionPool.Remember: transaction 25EJZLSU6Z6HLJ7NAH743YMV46KROU47J4P3QSGM7SBZGYT7B5BQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
67,191,352,3000000,125,125,191,191,125,1,0,O5UVMXLFKCHW2KGHBWGX5ZLNWUDI2KV55VWWTV2P7AFMY7OMEHPQ,,"TransactionPool.Remember: transaction 6QRKW3CSNDSQVDIU3U2YYBTRZIRV3IFX3G7N5CFBM25I4E23SKAA: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
68,68,429,3000000,68,125,68,68,68,1,0,WIIQADLTVYUCIAG34W3DR46LEVQL6PC5XS2K7HL77HEKLAONBPQQ,,"TransactionPool.Remember: transaction NPHDPLC2OSJIB2RBY6BMCI2LQWNDCHOYCZB7MHIFKEDU2CYYBXQQ: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
69,5,485,3000000,5,125,5,5,5,1,0,IE4KFVU5YVDGDWHWSNPOUMY42MQWRZKKUBVS6NVUFXHQAMLQNE3Q,,"TransactionPool.Remember: transaction V76NZOLTSXYRZPZPHX5KZW3KQJXJNW555647OEBMWM3U3YBPOJ7Q: logic eval error: assert failed pc=921. Details: app=753211496, pc=921, opcodes=app_global_get; ==; assert"
70,0,580,3000000,0,125,0,0,0,1,1,WEB72TPYU4IJREJMEBPTC3UZPCRM2EZSNKBBLEY2JORHCHWAQ55A,2N5TKFCPMQDMIEMX62LBGATEGT32WU6IWDLNCUZWBHTA4U3EFWAA,
71,0,644,3000000,0,125,0,0,0,1,1,GPDRU6CNZWMJM4RGDVLCOUHVJBERFQPGIMXO6PV5GV2Y5Y5D7LEQ,ATA6BENCPJWFR23LBIW3DYQEIX3V75OYDUL7J4UPCIVFSL7RCL5Q,
72,0,714,3000000,0,125,0,0,0,1,1,2K4JPY4DNSWKE3XY2NFRLONXDXMMUQNDBKJGEOSRDOO2654JMLSA,QM2DJ7JMYS44L5LZ7WENWUKZGNKDMJIU2CSYWDQB2SNIODTCV42Q,
73,0,762,3000000,0,125,0,0,0,1,1,SSM66OBZWP7NTGHNOK5TFMQZBWLSAOIBYOX4OSKKPBJFNB63AWKQ,JQJHSBWUS4UNCNT3M4E2G4J3UPEX7VE5HG2K7MC4OZPAKRZB4GSQ,
74,0,804,3000000,0,125,0,0,0,1,1,2SURCA3FMIQCLEZV6OYEZBVM4BXOYKBM4ZW5FAN4RWRAI42E25JQ,W2T5TNWIVUXCJORHENVL7WWS3SVW4MPZNKN2SML7ZCZQXOOGHX3Q,
75,0,845,3000000,0,125,0,0,0,1,1,6YWJRV4W3IJITPP2GTRPWQW66FC5G7S47YPJPMHWR2QJEFR2OVOQ,Y267GHRNDVBB2GM4XZI6QIPQ6SJSKOU3SCRZJOK2TOXLX4JHR4AA,
76,0,866,3000000,0,125,0,0,0,1,1,VW3FXKGFQAZTMREESQPKB4WEXY53HWGBFAKROZESWOK6VVUNH4JA,GOZEWEJ45UCT6ATWFKASNTDKTKCOZNM5PHD7KIS5H2EEVPBPWRCA,
77,0,852,3000000,0,125,0,0,0,1,1,WNSIUPPRSDZ3ZI3SPUBAPEBHQ5UQL5AURN45S7VV43U46LLMEZVA,NMUCQ6NQMVYV54PL4SJ6X75LXOCAV72WM2DIIMQTSEG4IXWGENKA,
78,0,809,0,0,0,0,0,0,0,0,DQFVKKQD3A6SE5ALDTWAUVUJL57MADRLKBFAP3NOLQS3NYJ4TD3A,,The read operation timed out
79,0,763,3000000,0,125,0,0,0,1,1,JCIRRNWN2ALFZ63GZKCTV5TCUQMZF7CP3VNZC7DOJZLN4TZKYMDA,BHYXDRDV6UCBTFVKE6RVSC4LSMWJINAROAHWQPN3DTWLAZ7RU5PQ,
